race_number,date_ymd,race_type,cancelled,cancelled_reason
1,26/9/20,Standard,FALSE,
2,3/10/20,Standard,FALSE,
3,10/10/20,Standard,FALSE,
4,17/10/20,Double Distance,FALSE,
5,24/10/20,Standard,FALSE,
6,31/10/20,Standard,FALSE,
7,7/11/20,Standard,FALSE,
8,14/11/20,Super Teams,FALSE,
9,21/11/20,Standard,FALSE,
10,28/11/20,Standard,FALSE,
11,5/12/20,Standard,FALSE,
12,12/12/20,Standard,TRUE,weather
13,19/12/20,Standard,FALSE,
14,26/12/20,Standard,TRUE,pool closure
15,2/1/21,Standard,FALSE,
16,9/1/21,Standard,FALSE,
17,16/1/21,Standard,FALSE,
18,23/1/21,Super Teams,FALSE,
19,30/1/21,Standard,,
20,6/2/21,Standard,,
21,13/2/21,Standard,,
22,20/2/21,Standard,,
23,27/2/21,Double Distance,,
24,6/3/21,Standard,,
25,13/3/21,Standard,,
26,20/3/21,Club Championships,,
